name,population,local_gove,long,lat
Anakie,103,Central Highlands Regional,147.7462905,-23.5521615
Ayr,8392,Burdekin Shire,147.406647651,-19.5743997279999
Bakers Creek,919,Mackay Regional,149.1469125,-21.2193379999999
Bamaga,1044,Northern Peninsula Area Regional,142.389588,-10.889515
Bluff,370,Central Highlands Regional,149.0705125,-23.5795135
Bramston Beach,154,Cairns Regional,146.023703,-17.35389
Burnett Heads,2630,Bundaberg Regional,152.417097,-24.7734829999999
Cairns,133893,Cairns Regional,145.775821,-16.9220759999999
Carmila,149,Isaac Regional,149.4085855,-21.9100809999999
Childers,1410,Bundaberg Regional,152.2781505,-25.2355815
Coalstoun Lakes,27,North Burnett Regional,151.889954,-25.613733
Cooya Beach,544,Douglas Shire,145.4067045,-16.448273
Dalbeg,89,Burdekin Shire,147.297003,-20.2703845
Daradgee,46,Cassowary Coast Regional,146.0054695,-17.486482
Eimeo,3309,Mackay Regional,149.1757405,-21.0360439999999
Elliott Heads,762,Bundaberg Regional,152.488361,-24.9176265
Etty Bay,7,Cassowary Coast Regional,146.0884675,-17.5573315
Eungella,115,Mackay Regional,148.491544,-21.1311175
Gladstone,32073,Gladstone Regional,151.2592575,-23.8466645
Glenden,1308,Isaac Regional,148.1139385,-21.3543369999999
Greenvale,186,Charters Towers Regional,144.980207,-18.999746
Gunalda,186,Gympie Regional,152.5630915,-25.991137
Guthalungra,30,Whitsunday Regional,147.843753,-19.9252964999999
Halifax,431,Hinchinbrook Shire,146.285723,-18.579555
Homestead,41,Charters Towers Regional,145.657792,-20.3623519999999
Farleigh,321,Mackay Regional,149.101789,-21.1067459999999
Flying Fish Point,419,Cassowary Coast Regional,146.07645,-17.498927
Gayndah,1646,North Burnett Regional,151.6082065,-25.6242425
Giru,306,Burdekin Shire,147.107267,-19.512662
Glastonbury,80,Gympie Regional,152.51933,-26.2144769999999
Gogango,26,Rockhampton Regional,150.0409925,-23.6666195
Goomeri,497,Gympie Regional,152.068614,-26.1825635
Gumlu,40,Whitsunday Regional,147.683457,-19.8789275
Happy Valley,16,Fraser Coast Regional,153.200443,-25.337724
Home Hill,3027,Burdekin Shire,147.415346,-19.660593
Horton,70,Bundaberg Regional,152.3196005,-25.2266104999999
Imbil,439,Gympie Regional,152.6747895,-26.4598765
Injinoo,469,Northern Peninsula Area Regional,142.3254405,-10.9064064999999
Kalpowar,33,North Burnett Regional,151.3049475,-24.695191
Kuranda,2159,Mareeba Shire,145.6349565,-16.8198669999999
Laura,78,Cook Shire,144.446187,-15.5622015
Macknade,304,Hinchinbrook Shire,146.260085,-18.5872469999999
Malanda,1671,Tablelands Regional,145.5958065,-17.355241
Mapleton,845,Sunshine Coast Regional,152.8664995,-26.6251624999999
Babinda,1068,Cairns Regional,145.923481,-17.3442115
Banana,172,Banana Shire,150.1270435,-24.470432
Bellenden Ker,168,Cairns Regional,145.9256795,-17.2634755
Biggenden,682,North Burnett Regional,152.043003,-25.510079
Bloomsbury,39,Mackay Regional,148.595033,-20.7059604999999
Bowen,8604,Whitsunday Regional,148.238794,-20.0087505
Brandon,823,Burdekin Shire,147.3548815,-19.5544035
Brooloo,101,Gympie Regional,152.7023045,-26.4888329999999
Bundaberg,49750,Bundaberg Regional,152.3480955,-24.8712879999999
Burrum Heads,1068,Fraser Coast Regional,152.610401,-25.186301
Calen,175,Mackay Regional,148.7692305,-20.8992489999999
Cawarral,662,Livingstone Shire,150.674938,-23.2560169999999
Pomona,1554,Noosa Shire,152.8558845,-26.364207
Coen,311,Cook Shire,143.198812,-13.9452279999999
Cooran,845,Noosa Shire,152.824369,-26.335066
Cordalba,314,Bundaberg Regional,152.2114305,-25.15842
Cracow,31,Banana Shire,150.3026465,-25.2952559999999
Daintree,146,Douglas Shire,145.320628,-16.2502069999999
Willows Gemfields,150,Central Highlands Regional,147.541204,-23.7386309999999
Wonga,1000,Douglas Shire,145.413255,-16.353158
Stockyard Point,74,Livingstone Shire,150.8054615,-22.8131655
Clinton,6000,Gladstone Regional,151.2157265,-23.876054
Portland Road,60,Cook Shire,143.411102,-12.5975
Abercorn,20,North Burnett Regional,151.128531,-25.1335625
Balgal,849,Townsville City,146.4070255,-19.0143884999999
Beachton,10,Gladstone Regional,150.9831965,-23.49461
Mirani,1010,Mackay Regional,148.8706685,-21.1604025
Moore Park,1650,Bundaberg Regional,152.274512,-24.7155405
Mount Chalmers,155,Livingstone Shire,150.6402225,-23.2972854999999
Mount Morgan,2558,Rockhampton Regional,150.389485,-23.64413
Mourilyan,414,Cassowary Coast Regional,146.040834,-17.5834995
Nanango,3578,South Burnett Regional,151.997932,-26.672762
Nebo,450,Isaac Regional,148.6914205,-21.689479
Owanyilla,42,Fraser Coast Regional,152.6265,-25.645229
Pinbarren,237,Noosa Shire,152.850436,-26.3354019999999
Port Douglas,3939,Douglas Shire,145.46526,-16.48347
Redlynch,8645,Cairns Regional,145.6931825,-16.888884
Rockingham,83,Cassowary Coast Regional,145.989035,-18.0102679999999
Rosedale,97,Gladstone Regional,151.913976,-24.6282515
Rubyvale,557,Central Highlands Regional,147.692732,-23.417189
Sarina,3539,Mackay Regional,149.216639,-21.4207365
Seaforth,508,Mackay Regional,148.9597475,-20.8947555
Bloomfield,4000,Cook Shire,145.35167,-15.921105
Allingham,1234,Hinchinbrook Shire,146.2945965,-18.7073675
Bonavista,50,Whitsunday Regional,148.6622355,-20.4008959999999
Groper Creek,50,Burdekin Shire,147.5300365,-19.6921465
Northcliffe,60,Gladstone Regional,151.3351695,-23.761367
Pialba,3528,Fraser Coast Regional,152.8393095,-25.2815704999999
Nikenbah,106,Fraser Coast Regional,152.8028135,-25.3180204999999
Proserpine,3390,Whitsunday Regional,148.582956,-20.4037969999999
Raglan,41,Gladstone Regional,150.82075,-23.7175875
Ravenshoe,860,Tablelands Regional,145.482668,-17.6068354999999
Rolleston,111,Central Highlands Regional,148.6222335,-24.4635949999999
Rules Beach,33,Gladstone Regional,152.037127,-24.4940985
Sarina Beach,353,Mackay Regional,149.311468,-21.3896179999999
Seisia,204,Northern Peninsula Area Regional,142.367307,-10.8528454999999
South Johnstone,411,Cassowary Coast Regional,145.9958745,-17.5968614999999
St Lawrence,175,Isaac Regional,149.5292965,-22.3459255
Stanwell,324,Rockhampton Regional,150.325341,-23.4849664999999
Taabinga,102,South Burnett Regional,151.83352,-26.5840519999999
Taylors Beach,351,Hinchinbrook Shire,146.327173,-18.6244649999999
Theebine,30,Gympie Regional,152.54302,-25.9491404999999
Tolga,878,Tablelands Regional,145.4788185,-17.2231239999999
Toogoom,1872,Fraser Coast Regional,152.6715225,-25.2466694999999
